Gene,D1,D2,D3,V1,V2,V3
MPEG1,41.7186,40.8402,42.2659,2.77445,2.83829,2.93089
PHGDH,16.8945,13.7864,13.5779,264.35,281.981,256.678
BTG2,72.558,68.6881,70.741,9.64238,9.51894,9.08605
SAMHD1,60.8405,63.4973,62.843,12.0475,12.3216,12.9498
TOP2A,7.62052,8.45703,8.64463,96.5648,89.4444,99.9534
S100P,2.98271,2.67062,2.33231,58.2186,55.3921,55.9
MCM4,6.11904,5.37159,5.50468,45.4562,43.3301,47.9524
IL7R,8.82866,9.33467,9.86578,0.321372,0.254067,0.290933
MCM6,10.4809,10.7249,10.0615,72.0893,67.3108,73.0663
PSAT1,20.4937,24.4274,25.2634,310.066,304.112,321.612
XPOT,5.84501,6.95978,6.50493,55.9299,52.4388,57.0302
GPR183,122.837,153.048,166.366,8.30869,7.61496,8.54899
UHRF1,5.26108,4.61478,4.7836,35.5935,35.973,38.352
GPT2,1.86167,1.32007,1.40483,26.1197,24.8425,26.0532
KIF2C,3.06046,3.4188,2.46211,39.994,39.5621,38.2488
SLC7A1,5.03072,3.93708,3.44437,46.338,48.3048,46.0574
BMP8B,7.64235,6.35482,5.32466,56.2537,54.9323,57.0065
FUCA1,108.029,112.812,126.907,25.6433,24.3677,27.2849
H2AFZ,58.5077,54.3729,63.6072,397.911,399.021,427.361
STC2,0.433328,0.441412,0.461701,7.66119,8.52255,8.54964
CYBB,73.7514,81.5723,86.8728,18.9458,18.5203,20.4305
TUBB,30.6512,27.6925,25.6051,117.144,118.384,113.848
RFLNB,7.2803,6.50295,5.95134,36.6724,36.5938,34.773
TUBB,30.6512,27.6925,25.6051,117.144,118.384,113.848
ASS1,90.752,76.8738,64.2156,707.736,776.6,684.341
RGS16,4.50063,3.84467,3.50886,32.1862,33.6517,30.3958
CTSG,43.9511,37.4416,33.5197,228.453,242.08,222.972
KIF4A,0.949358,1.04085,0.918039,10.8745,10.4896,10.4033
TUBB,30.6512,27.6925,25.6051,117.144,118.384,113.848
CD36,5.97273,7.79814,8.15713,0.349187,0.263309,0.342186
IFI30,64.726,52.6287,48.8748,8.17879,8.01707,6.70021
HIST1H1C,119.632,105.299,96.008,20.5574,25.184,22.6855
KIF21B,1.25004,0.954384,0.788079,12.5131,12.5444,12.7917
FKBP5,6.37248,6.7944,7.28411,42.7027,40.5206,43.4037
ANXA1,69.4647,81.0283,95.1729,8.11472,8.81087,8.90565
SCD,42.4931,39.7247,37.1018,207.493,198.687,187
SBF2,128.531,133.633,126.161,37.3248,30.4336,32.589
TUBB,30.6512,27.6925,25.6051,117.144,118.384,113.848
TUBB,30.6512,27.6925,25.6051,117.144,118.384,113.848
TUBB,30.6512,27.6925,25.6051,117.144,118.384,113.848
RFLNB,7.2803,6.50295,5.95134,36.6724,36.5938,34.773
IPCEF1,11.6129,12.7418,14.3837,2.58809,2.32016,2.54445
FCMR,33.0378,31.4064,29.9147,5.06362,3.70457,4.78537
FGL2,9.46175,11.2838,15.3271,0.580111,0.601517,0.591955
AARS,39.9458,32.1907,30.4407,174.12,175.613,168.524
SBF2,84.5417,100.232,101.643,12.5821,12.1574,9.66582
CENPF,0.922392,0.802205,0.712658,11.6329,8.31401,11.785
SPAG5,1.71625,2.00502,2.01012,14.4014,13.4046,15.5454
WARS,31.2585,35.9622,30.1243,155.963,163.501,164.394
CD36,35.143,43.1312,41.4222,1.32183,0.702907,1.02955
ACOT7,1.43616,1.17088,1.05578,24.2429,28.8711,22.7872
ASNS,7.54678,8.46671,11.3802,179.319,188.574,190.39
HIST1H2AC,66.8459,62.2652,72.948,14.6269,13.7304,12.7413
METTL7A,38.8044,38.9476,43.3164,10.749,12.2364,12.3993
CCNB2,10.7867,11.1659,12.0949,62.6976,61.3487,64.6278
ANP32B,40.5746,47.9403,52.9565,415.615,391.164,429.601
RPIA,5.96059,5.35826,5.98238,34.4646,33.4217,34.876
TTK,3.0046,3.03606,3.18469,22.1147,18.6349,22.7036
MCM2,4.10663,3.69304,3.05804,24.7704,26.7966,24.8493
SYNPO2,1.57659,1.44289,1.33803,7.66242,7.1451,7.39011
EMP1,5.5958,7.78808,8.13556,0.426547,0.508187,0.529582
S1PR3,1.1975,1.24069,0.919188,11.1058,11.0405,10.7979
NBAS,2.94495,3.08624,2.65209,14.1408,12.9924,14.2868
GAS7,63.5732,59.4732,54.7504,25.9212,24.2656,26.3075
ATF5,23.3873,19.0212,17.153,110.776,119.947,106.879
ACTA2,50.8851,47.7183,41.3459,14.8074,12.9219,13.4159
MTHFD2,44.0732,50.4789,46.1432,202.082,206.692,207.266
RFC3,5.41308,5.12092,6.31721,35.9198,34.5624,39.5138
CD180,31.2105,31.4463,31.4184,13.7081,12.2897,13.7248
ERLIN1,5.04291,5.80739,5.65839,26.252,25.7516,27.6988
THBD,11.6794,10.241,9.636,3.03889,2.83221,3.09463
FH,15.0868,15.1003,17.3781,78.8883,76.7135,84.0615
BCL2,9.71416,9.77457,10.3999,41.8593,37.8871,41.8272
SEC63,7.35975,8.23397,8.67481,49.622,42.0584,49.088
TRIB1,26.5,28.3204,31.0441,8.33688,8.27173,7.57654
ORM1,4.10476,3.49397,2.29456,68.3764,65.9165,67.2141
FAM13B,14.6422,17.7851,16.9025,4.31417,4.56812,4.88532
MARS,23.3306,21.3077,17.5345,106.943,106.078,100.889
KIF11,2.54238,3.08532,3.08468,19.8924,18.1294,20.5092
PPAT,3.55292,4.3218,3.89937,22.778,21.1218,24.0696
BIRC5,3.92279,3.7279,2.87581,25.4483,26.3354,25.6405
CDK1,6.16677,6.66134,8.38371,63.3171,59.8803,64.1789
TPX2,7.8473,10.2262,8.37331,54.3663,51.0608,56.606
NDC80,2.24309,2.66274,2.91876,22.7296,21.5896,23.0161
SHMT2,27.3359,27.3499,28.6972,154.237,157.072,150.73
MCM7,22.6224,21.1431,21.7311,93.4163,94.6312,81.4866
TYMS,17.0201,15.124,16.672,77.7873,86.318,80.2064
MCM3,17.5204,17.5218,15.3548,78.3149,79.0247,76.0672
PRC1,3.84281,4.64669,3.52842,25.5255,25.7696,27.5707
CKS1B,25.0889,24.9234,23.0773,120.026,100.588,112.544
RNASEH2A,13.8244,12.1499,11.0208,57.8813,60.214,58.3963
BUB1B,2.85287,2.14328,2.54517,22.4231,20.8913,22.6443
HNRNPD,15.2984,15.1579,15.3731,66.39,61.889,62.8692
LCP1,137.052,146.556,149.554,619.63,598.08,630.084
CYTIP,44.4274,50.0076,56.9772,12.0962,10.385,11.962
WDR12,3.90451,3.4737,3.53741,14.0624,13.1266,15.2058
TK1,3.40039,3.36401,2.32714,29.107,33.9326,28.7853
GARS,53.3803,56.9287,61.0749,220.351,212.831,227.059
XRCC1,8.34338,7.24357,6.04011,41.2574,42.692,39.8801
CYP1B1,136.898,156.446,186.401,33.0184,31.2084,33.6868
NMD3,7.06509,7.66619,8.73367,41.5301,40.0805,42.421
NUDT19,7.16295,6.61028,7.10927,28.5425,28.3616,32.881
CDCA8,1.83655,2.17785,1.66348,21.7305,19.2124,19.1502
TUBA1B,237.497,204.677,176.949,908.294,951.678,864.94
WDR76,1.01011,0.950919,1.10961,10.6956,12.3961,10.4851
SLC37A2,31.4777,24.815,24.0411,7.77042,9.06011,8.60729
ASF1B,3.20831,2.60561,2.02775,24.5853,27.8405,23.8265
DKC1,22.7688,23.586,24.4694,83.5137,78.7823,85.4132
SLA,24.7835,27.9584,25.9186,10.28,9.33915,10.7131
GAPT,21.3305,26.0252,26.5618,6.39661,6.04588,5.85767
RAB11FIP1,12.1893,14.7125,13.1567,4.06116,4.18768,4.59148
PECAM1,45.6685,45.2205,42.915,23.8716,22.618,24.2804
P2RX7,6.42017,5.77579,5.23626,21.8754,21.0969,21.2912
PYGL,64.7696,63.8937,61.3458,214.131,195.369,209.552
INSIG1,4.52925,4.07442,4.28216,23.219,23.7788,23.0219
ATRN,23.5802,22.4634,22.4828,12.2802,11.9925,11.7045
ANP32A,24.7205,20.9448,23.0248,96.1458,93.4908,91.4182
XPC,34.3554,33.5057,33.4186,15.9411,16.0305,15.9347
AXL,19.6127,21.0958,20.2533,8.66207,8.32113,7.70042
